City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
261,colesberg,-30.72,25.0972,297.93,31,90,8.8,ZA,1700158420
262,kruisfontein,-34.0033,24.7314,291.04,90,91,2.65,ZA,1700158420
263,nishon tumani,38.694,65.6751,288.29,36,0,4.12,UZ,1700158421
264,luderitz,-26.6481,15.1594,292.36,75,26,2.51,NA,1700158421
265,shatrovo,56.5167,64.6333,273.21,88,21,3.91,RU,1700158421
266,paita,-5.0892,-81.1144,297.43,70,78,8.05,PE,1700158421
267,las khorey,11.1595,48.1967,301.68,79,57,4.76,SO,1700158422
268,homnabad,17.7667,77.1333,292.84,57,26,4.11,IN,1700158423
269,kalengwa,-13.4659,25.0027,300.47,26,53,1.8,ZM,1700158423
270,tubarjal,30.4999,38.216,292.95,48,0,2.84,SA,1700158423
271,kapuskasing,49.4169,-82.4331,281.2,42,100,8.23,CA,1700158423
272,anicuns,-16.4611,-49.9617,305.36,31,48,4.15,BR,1700158423
273,seven pagodas,12.6264,80.1722,300.4,84,100,4.47,IN,1700158424
274,saldanha,-33.0117,17.9442,289.76,93,80,4.55,ZA,1700158424
275,tazovsky,67.4667,78.7,254.21,99,11,3.83,RU,1700158424
276,acarau,-2.8856,-40.12,303.95,57,4,8.93,BR,1700158424
277,villa gesell,-37.2639,-56.973,289.85,60,3,7.09,AR,1700158424
278,pont-a-mousson,48.9079,6.0589,284.74,93,75,6.69,FR,1700158424
279,djougou,9.7085,1.666,303.1,36,80,2.26,BJ,1700158425
280,tangalle,6.024,80.7911,298.89,88,100,2.66,LK,1700158425
281,sidareja,-7.4846,108.7923,297.73,94,100,0.52,ID,1700158425
282,tual,-5.6667,132.75,300.86,69,59,3.06,ID,1700158425
283,guanica,17.9716,-66.908,306.22,59,90,7.71,PR,1700158425
284,porto novo,6.4965,2.6036,302.05,78,100,2.23,BJ,1700158425
285,northam,51.0333,-4.2167,281.82,93,56,4.63,GB,1700158426
286,bengkulu,-3.8004,102.2655,297.18,96,100,1.51,ID,1700158426
287,carnarvon,-24.8667,113.6333,294.94,81,0,4.83,AU,1700158426
288,polyarnyy,69.1989,33.4478,265.79,92,80,5.52,RU,1700158426
289,ha'il,27.5219,41.6907,291.16,72,40,2.06,SA,1700158426
290,alto araguaia,-17.3147,-53.2153,311.0,20,64,4.17,BR,1700158426
291,seguela,7.9611,-6.6731,301.89,50,15,1.37,CI,1700158427
292,sarina,-21.4333,149.2167,295.71,1,16,3.73,AU,1700158427
293,salekhard,66.53,66.6019,256.56,88,5,4.42,RU,1700158427
294,fort frances,48.5999,-93.4003,281.27,58,84,6.17,CA,1700158427
295,gien,47.6933,2.6309,283.99,85,100,10.97,FR,1700158427
296,timaru,-44.4,171.25,285.41,91,100,1.79,NZ,1700158291
297,east london,-33.0153,27.9116,290.67,94,75,5.14,ZA,1700158427
298,igarka,67.4667,86.5833,252.19,100,55,2.36,RU,1700158428
299,ezine,39.7856,26.3408,287.52,69,10,2.4,TR,1700158428
300,voss,60.623,6.4229,267.07,88,17,1.99,NO,1700158428
301,beira,-19.8436,34.8389,295.2,68,0,4.12,MZ,1700158428
302,jaru,-10.4389,-62.4664,314.44,18,3,3.83,BR,1700158428
303,sona,45.4388,10.8255,284.4,86,40,1.54,IT,1700158429
304,dwarka,22.2394,68.9678,299.36,51,36,5.88,IN,1700158429
305,nelson bay,-32.7167,152.15,290.99,95,100,7.15,AU,1700158429
306,myeik,12.4333,98.6,299.02,85,100,2.65,MM,1700158429
307,arendal,58.4615,8.7725,273.04,80,96,6.34,NO,1700158336
308,barbacoas,1.6715,-78.1398,305.09,62,78,1.84,CO,1700158429
309,chernyshevskiy,63.0128,112.4714,269.8,95,100,4.98,RU,1700158358
310,tralee,52.2704,-9.7026,281.29,87,40,4.12,IE,1700158430
311,kuala tungkal,-0.8167,103.4667,299.42,85,97,0.93,ID,1700158430
312,nikolayevsk-on-amure,53.1406,140.73,266.01,89,100,0.66,RU,1700158430
313,birendranagar,28.6019,81.6339,289.05,77,0,1.9,NP,1700158430
314,badger,64.8,-147.5333,265.02,89,75,0.0,US,1700158431
315,flying fish cove,-10.4217,105.6791,298.97,83,100,3.6,CX,1700158431
316,bondoukou,8.0333,-2.8,301.42,55,75,1.48,CI,1700158431
317,fokino,42.9836,132.4047,278.21,95,100,1.96,RU,1700158431
318,sosnovo-ozerskoye,52.5249,111.5418,255.46,97,39,1.5,RU,1700158431
319,bairnsdale,-37.8333,147.6167,284.29,79,78,2.82,AU,1700158431
320,urengoy,65.9667,78.3667,255.09,98,74,3.52,RU,1700158431
321,karabar,-35.3753,149.2308,284.97,74,100,3.6,AU,1700158431
322,tsiombe,-25.3,45.4833,294.09,68,32,8.33,MG,1700158432
323,taltal,-25.4,-70.4833,291.69,69,100,3.24,CL,1700158432
324,lata,40.1629,-8.3327,291.52,97,94,1.01,PT,1700158432
325,castillos,-34.1667,-53.8333,296.3,49,52,4.58,UY,1700158432
326,el alto,-4.2714,-81.2147,298.96,65,93,10.15,PE,1700158432
327,puerto san jose,13.9256,-90.8244,303.04,68,41,2.11,GT,1700158243
328,fortaleza,-3.7227,-38.5247,304.86,60,20,7.72,BR,1700158432
329,mandalgovi,45.7625,106.2708,266.36,70,0,2.07,MN,1700158433
330,santo antonio do ica,-3.1022,-67.9397,311.87,30,38,1.06,BR,1700158433
331,guerrero negro,27.9769,-114.0611,297.03,68,100,2.59,MX,1700158155
332,naliya,23.2667,68.8333,297.89,32,24,3.41,IN,1700158433
333,alofi,-19.0595,-169.9187,298.09,94,98,4.63,NU,1700158433
334,dean funes,-30.4204,-64.3498,300.72,27,18,5.09,AR,1700158433
335,embi,48.8264,58.1442,278.94,78,100,1.83,KZ,1700158433
336,aleksandrov gay,50.147,48.5704,278.28,78,96,2.45,RU,1700158434
337,lincoln,40.8,-96.667,289.65,65,0,6.17,US,1700158195
338,paris,48.8534,2.3488,282.08,95,100,8.23,FR,1700158369
339,coyhaique,-45.5752,-72.0662,288.49,62,75,6.17,CL,1700158434
340,darab,28.7519,54.5444,288.3,75,73,1.13,IR,1700158434
341,chita,52.0333,113.55,255.91,71,28,2.0,RU,1700158434
342,kailua-kona,19.6406,-155.9956,298.43,77,40,2.57,US,1700158181
343,petropavlovsk-kamchatsky,53.0452,158.6483,265.07,75,7,6.26,RU,1700158435
344,wilmington,34.2257,-77.9447,296.96,67,0,5.36,US,1700158435
345,tara,56.8944,74.371,275.04,79,100,3.4,RU,1700158435
346,pangody,65.85,74.4859,254.88,93,46,4.1,RU,1700158435
347,forster,-32.1667,152.5167,291.14,100,100,4.79,AU,1700158436
348,mana,5.6592,-53.7767,301.55,77,25,3.31,GF,1700158436
349,broome,42.2506,-75.833,289.52,52,0,3.58,US,1700158436
350,fort bragg,35.139,-79.006,296.29,50,20,2.06,US,1700158436
351,bafoulabe,13.8065,-10.8321,306.33,10,3,1.72,ML,1700158436
352,lloydminster,53.2835,-110.0016,271.72,57,12,6.25,CA,1700158236
353,usinsk,65.9939,57.5281,255.97,92,80,3.58,RU,1700158437
354,aasiaat,68.7098,-52.8699,262.04,96,98,2.35,GL,1700158437
355,kavalerovo,44.2661,135.0572,277.34,98,100,4.47,RU,1700158437
356,trinidad,-14.8333,-64.9,311.14,37,40,9.26,BO,1700158212
357,arkhangel'sk,64.5401,40.5433,267.66,84,29,2.75,RU,1700158437
358,burang,30.25,81.1667,270.13,52,0,0.9,CN,1700158437
359,nzega,-2.479,29.5564,287.44,96,100,1.1,RW,1700158438
360,bizhbulyak,53.6967,54.2642,276.27,97,100,1.73,RU,1700158438
361,xinyuan,37.3,99.0,265.7,17,0,1.98,CN,1700158438
362,ust'-kut,56.7938,105.7672,266.73,84,100,3.58,RU,1700158438
363,plaza huincul,-38.926,-69.2086,288.79,10,99,3.58,AR,1700158438
